Latitude,Longitude,CommonName,Diameter
42.36843571686426,-71.14082043501608,Norway maple,30.1
42.367258837046855,-71.13831538864737,Red maple,18.5
42.3613693064731,-71.10271944011232,Serviceberry genus,2.3
42.35652123698841,-71.10949300385629,Green ash,27.0
42.395223590894695,-71.13207857574668,Green ash,14.0
42.38322307770663,-71.13262460214206,Honeylocust,13.5
42.389821096723075,-71.1425219845659,Littleleaf Linden,4.0
42.35758594179983,-71.10642636725362,Japanese pagoda tree,13.6
42.37511863418188,-71.14048907557653,Red maple,9.0
42.382227668540395,-71.13706049356543,Common serviceberry,2.1
42.368265810194075,-71.11357884225022,Honeylocust,13.9
42.400215069698454,-71.13351692551343,Amur maackia,6.4
42.37815413525395,-71.12926307512251,American sycamore,16.4
42.363216300519156,-71.1064755967159,Norway maple,10.6
42.371004215771634,-71.13492847525058,sycamore,7.0
42.38755387094437,-71.12586893269258,Littleleaf linden,8.1
42.36932971359748,-71.13924381537606,Austrian pine,13.1
42.36228248996572,-71.11543210096802,Apple genus,6.0
42.38182457618851,-71.1319310926582,American sycamore,33.3
42.37726898429859,-71.1437225529193,Hickory genus,13.1
42.370165579974156,-71.09911839248193,Littleleaf linden,15.5
42.378830083973284,-71.15047649853055,Sargent's cherry,15.4
42.372379628849714,-71.10002463210358,Honeylocust,9.2
42.36545578270712,-71.10106244843104,Littleleaf linden,12.0
42.400351328723964,-71.13354104085624,Japanese zelkova,13.7
42.36317904811811,-71.11254349025232,Honeylocust,13.6
42.36768765502999,-71.13754875902372,Sugar maple,32.5
42.37461180892239,-71.13924521770872,Norway maple,22.5
42.391286758155246,-71.11924855737917,American sycamore,20.2
42.37359538960736,-71.10681003396692,Pin oak,27.3
42.385948158922574,-71.12957417599422,Chinese elm,6.1
42.35999310737258,-71.1090652520329,Pin oak,35.0
42.37396759761734,-71.10212538511547,Red maple,10.8
42.3617892752065,-71.10621724732003,Pin oak,30.0
42.39385438750059,-71.13075706850042,Norway maple,21.2
42.37343442223613,-71.10589264083623,Red maple,11.0
42.38495713604388,-71.11619740874585,Pin oak,18.2
42.39640810193073,-71.12716124930762,Sargent's cherry,7.3
42.38685681330508,-71.12772150162242,Norway maple,9.1
42.362782604716934,-71.11579162604502,Eastern white pine,16.0
42.38528232660345,-71.11854203170998,Honeylocust,25.4
42.380962888666986,-71.13942352971864,Elm genus,13.1
42.392619157757,-71.12781495028187,Northern red oak,12.3
42.37508705941085,-71.1119064089265,Japanese pagoda tree,5.7
42.36556000338123,-71.11083787965033,Norway maple,13.2
42.400428210785705,-71.13612017318056,Pin oak,14.0
42.3695563202864,-71.10544590064215,Elm genus,6.1
42.36722745491822,-71.14165888957528,Norway maple,32.4
42.397522870671295,-71.13055288655885,Elm genus,8.0
42.37324654471512,-71.13854412281414,Apple genus,7.3
42.36159217167232,-71.10918821671466,Pin oak,34.2
42.38164230625719,-71.14020278219515,Japanese tree lilac,3.6
42.37307889893653,-71.13827015192722,Japanese tree lilac,4.9
42.387973224814814,-71.12157285640913,White ash,21.0
42.36634583516655,-71.14250423573924,Norway maple,25.1
42.39617768025023,-71.13326802653734,Sargent's cherry,12.7
42.38845995177593,-71.126496319838,Pin oak,29.2
42.36112619618441,-71.10812609911807,White ash,22.0
42.36935652157406,-71.09011137261727,Ginkgo,15.0
42.36878191731237,-71.08213659550066,Callery pear,16.1
42.36721467066901,-71.09133651671576,Pin oak,19.0
42.36882777843552,-71.13776284972342,Apple genus,22.3
42.399831314401226,-71.13616639958047,Honeylocust,20.5
42.38372751924696,-71.1160124093073,Littleleaf linden,9.7
42.39715528015826,-71.13422828037595,American linden,15.4
42.37261653001425,-71.12552816700362,sycamore,45.0
42.397809194178606,-71.13051955141518,Green ash,23.0
42.362163863655645,-71.11462953311052,Japanese zelkova,16.3
42.3808223606518,-71.11817261142774,London planetree,11.6
42.37291114044986,-71.10586747983078,Japanese zelkova,14.6
42.378515205571894,-71.14862467131859,Norway maple,11.3
42.39458891336715,-71.13620401711064,Norway maple,11.7
42.38055940895006,-71.1414979051881,Pin oak,32.8
42.36875031234404,-71.10674112986072,Pin oak,36.8
42.36515054580078,-71.1108881083224,Callery pear,23.6
42.37082785709101,-71.09287486148669,Pin oak,32.1
42.36000019789794,-71.110495888422,Norway maple,20.2
42.370755230994,-71.092195402406,Japanese tree lilac,5.0
42.38142540398067,-71.13724636637795,London planetree,5.4
42.37547162657532,-71.13053948014532,Silver maple,6.5
42.38327561296586,-71.1410107933728,Cherry Genus,4.5
42.37191695087786,-71.10778826869728,Elm genus,8.3
42.366101113639246,-71.09362650731734,Callery pear,7.6
42.364547710234014,-71.09731482836906,Honeylocust,18.5
42.368340291824126,-71.07737154620573,Red maple,5.4
42.355734949220334,-71.11108839610021,Tuliptree,9.0
42.3786586033219,-71.14507964519139,Silver linden,7.5
42.40039981419593,-71.13511812106492,Callery pear,4.8
42.37774602141631,-71.108549869424,Honeylocust,17.2
42.3727694849842,-71.1020568107788,Honeylocust,10.7
42.36447428741004,-71.1132019122757,Oak genus,5.0
42.37790017889118,-71.13887942709259,London planetree,4.0
42.36124900354363,-71.10582107489512,Ginkgo,4.2
